기관명,주소,위도,경도,카테고리_대,카테고리_소
1밀리미터성형외과의원,"서울특별시 강남구 강남대로 446, 한웰빌딩 3층 (역삼동)",37.50238911,127.0259481,병원,의원
2080치과의원,"서울특별시 송파구 백제고분로 365, 지하1층 105호 (석촌동, 태문빌딩)",37.50533056,127.10605,병원,치과의원
강남그랜드치과의원,"서울특별시 서초구 사평대로 368, 중앙빌딩 5층 (서초동)",37.50378798,127.0235193,병원,치과의원
210정형외과의원,"서울특별시 양천구 목동동로 150, 목동 블루스퀘어 2층 일부,4~6층 (신정동)",37.51894185,126.8704712,병원,의원
21C메트로한방병원,"서울특별시 은평구 갈현로 24, 2층 201,202호 (신사동)",37.6000388,126.9104275,병원,한방병원
21성형외과의원,"서울특별시 서초구 강남대로 441, 서산빌딩 10층 (서초동)",37.50173585,127.0252785,병원,의원
247외과의원,"서울특별시 강남구 봉은사로 108, 2층 (역삼동)",37.50453439,127.0255941,병원,의원
골든라인의원,"서울특별시 강남구 논현로176길 14, 2층 일부 (신사동)",37.52699346,127.0297183,병원,의원
24시열린의원,"서울특별시 송파구 백제고분로 187, 2층 205,206호 (잠실동, 파크인수)",37.5047453,127.0877816,병원,의원
365공릉차한의원,"서울특별시 노원구 동일로 1098, 지하1층, 지상3층 (공릉동)",37.62796645,127.0722454,병원,한의원
굿모닝정형외과의원,"서울특별시 송파구 송파대로 374, 메디포레 2층 (송파동)",37.50133066,127.1112186,병원,의원
24시열린의원,"서울특별시 양천구 목동동로 233-1, 109호 (목동, 현대드림타워)",37.52748626,126.8715667,병원,의원
강남하이텍의원,"서울특별시 송파구 송파대로 111, 205동 412,415호 (문정동, 파크하비오)",37.47966838,127.1249139,병원,의원
경희삼성한의원,서울특별시 관악구 신림로 151 (신림동),37.47247752,126.9329986,병원,한의원
24시열린의원,"서울특별시 광진구 능동로 90, 3층 (자양동, 더클래식500)",37.53836258,127.0709218,병원,의원
고려MS영상의학과의원,"서울특별시 구로구 구로중앙로 68, 4층409,410호 (구로동,신인타워)",37.49586031,126.8888073,병원,의원
고려M영상의학과의원,"서울특별시 동대문구 천호대로 2, 이지빌딩 5층 (신설동)",37.57500527,127.0235573,병원,의원
경희동서한의원,"서울특별시 강동구 구천면로 233, 한양메디스퀘어 6층층 (천호동)",37.54164722,127.1301344,병원,한의원
24시열린의원,"서울특별시 마포구 월드컵북로 396, 누리꿈스퀘어 지하층 B1095호 (상암동)",37.57942834,126.889783,병원,의원
호산소아청소년과의원,"서울특별시 영등포구 국제금융로7길 3, 210호 (여의도동)",37.52256162,126.9312027,병원,의원
365MC의원,"서울특별시 노원구 동일로 1392, 5,6층 (상계동)",37.65305379,127.0613245,병원,의원
강남준성형외과의원,"서울특별시 서초구 강남대로 547, 2층 (반포동, 한국교과서연구재단빌딩)",37.5106505,127.0210422,병원,의원
365mc모인이비인후과의원,서울특별시 중랑구 사가정로 395 (면목동),37.5808635,127.0886567,병원,의원
365강서수요양병원,"서울특별시 강서구 양천로 35, 1~6층 (방화동)",37.57297124,126.8076918,병원,요양병원
365경희길음한의원,"서울특별시 성북구 길음로9길 50, 상가동 1층 212호 (길음동, 길음뉴타운)",37.60269651,127.020948,병원,한의원
강서온정한의원,"서울특별시 강서구 금낭화로 91-2, 대승프라자 4층 401호 (방화동)",37.57365048,126.8110814,병원,한의원
365경희제일한의원,"서울특별시 강동구 양재대로 1349, 3층 (성내동)",37.52672222,127.1353614,병원,한의원
365경희한의원,"서울특별시 강서구 등촌로 3, 부경빌딩 302층 (화곡동)",37.53028387,126.8635362,병원,한의원
365구구한의원,"서울특별시 강서구 수명로 78, 새롬프라자 4층 402,403호 (내발산동)",37.55302427,126.8263395,병원,한의원
365다시재한방병원,"서울특별시 송파구 위례서로 248, 3층 일부, 4층 (거여동)",37.48664275,127.1422629,병원,한방병원
365다움의원,"서울특별시 성동구 왕십리광장로 17, 왕십리민자역사 4층 (행당동)",37.56144175,127.0383942,병원,의원
강우곤치과의원,서울특별시 종로구 삼일대로 443,37.57396018,126.9870772,병원,치과의원
365더잘봄정형외과의원,"서울특별시 마포구 월드컵로1길 14, 2층 212~215호 (합정동, 마포 한강 푸르지오)",37.5500498,126.9120613,병원,의원
365더튼튼의원,서울특별시 구로구 경인로 191   (오류동),37.49562749,126.8423283,병원,의원
강일코모키이비인후과의원,"서울특별시 강동구 아리수로93길 27, 304호 (강일동)",37.56562239,127.1738171,병원,의원
글로벌서울성형외과의원,"서울특별시 강남구 언주로 846, 글로벌메디컬빌딩 7층 (신사동)",37.52595452,127.0337267,병원,의원
365도담의원,"서울특별시 강북구 도봉로 386, 번동빌딩 3층 (번동)",37.64098401,127.0292253,병원,의원
365류마고내과의원,"서울특별시 광진구 광나루로56길 63, 프라임프라자 501~503호 (구의동)",37.53678879,127.0961606,병원,의원
365매일한방병원,"서울특별시 동대문구 천호대로 3, 지하2층, 지상1~2층 (신설동)",37.57534839,127.0243444,병원,한방병원
고려엔케이연합의원,"서울특별시 강서구 화곡로 398, 4층 (등촌동, 홈플러스 강서점)",37.55846996,126.854819,병원,의원
365매일한방병원,"서울특별시 강북구 오패산로 414, 2~4층 (번동)",37.63772606,127.0264898,병원,한방병원
365메디의원,"서울특별시 강북구 삼양로 241, 3층 (미아동)",37.62511656,127.0180362,병원,의원
365메트로의원,"서울특별시 강남구 학동로 지하102, 논현역 212호 (논현동)",37.51119883,127.0216579,병원,의원
365목동바로치과의원,"서울특별시 양천구 신월로 274, 3층 (신정동)",37.52140554,126.8514731,병원,치과의원
금란치과의원,서울특별시 중랑구 망우로 460 (망우동),37.60010656,127.1031367,병원,치과의원
365문정사랑의원,"서울특별시 송파구 송이로32길 37, 1층 (문정동, 문정푸르지오아파트)",37.48698109,127.1272443,병원,의원
경희예가한의원,"서울특별시 강남구 테헤란로51길 23, 3층 304호 (역삼동)",37.50519027,127.0457477,병원,한의원
365미소내과의원,"서울특별시 동작구 남부순환로 2055, 2층 (사당동)",37.47687437,126.9770941,병원,의원
365바른정형외과의원,"서울특별시 관악구 은천로 37, 2층 (봉천동)",37.48633741,126.9395785,병원,의원
365반반한의원,"서울특별시 서대문구 통일로9안길 28, 2,3층 (충정로2가)",37.56609466,126.9653341,병원,한의원
고척으뜸내과의원,"서울특별시 구로구 경인로43길 49, B동 201호 (고척동, 고척아이파크)",37.49906919,126.857533,병원,의원
365밝은안과의원,"서울특별시 관악구 신림로 350, 3층 302호 (신림동, 서원프라자, 태영아파트)",37.48550722,126.9299488,병원,의원
게이트성형외과의원,"서울특별시 강남구 강남대로 476, urbanhive 10층 (논현동)",37.50490857,127.0247909,병원,의원
경희제일한의원,"서울특별시 강동구 성안로25길 6, 상가 204호 (천호동, 삼성아파트)",37.53803418,127.1349844,병원,한의원
경희이끌림한의원,"서울특별시 송파구 송파대로 408, 하림빌딩 2층 (송파동)",37.50373645,127.1089786,병원,한의원
김군중한의원,"서울특별시 서초구 신반포로23길 30 (잠원동,1층)",37.50878562,127.0035444,병원,한의원
강원한의원,"서울특별시 강남구 언주로152길 14, 로데오빌딩 5층 (신사동)",37.52262635,127.0348494,병원,한의원
건강한가정의학과의원,서울특별시 강서구 강서로16길 32 (화곡동),37.53307979,126.848126,병원,의원
굿모닝의원,서울특별시 양천구 목동중앙본로 113,37.54568478,126.8708499,병원,의원
굿모닝의원,서울특별시 구로구 개봉로3길 76 (개봉동),37.48626334,126.8520886,병원,의원
강피부과의원,"서울특별시 관악구 은천로 109, 2층 201호 (봉천동, 한독빌딩)",37.48700373,126.9475559,병원,의원
365백세드림정형외과의원,"서울특별시 금천구 시흥대로 411, 고려인청소년회관 4층 401호 (독산동)",37.47042516,126.8976191,병원,의원
365보스턴치과의원,"서울특별시 서대문구 명물길 6, 4층 (창천동)",37.55731051,126.9374045,병원,치과의원
365본맥한의원,"서울특별시 성북구 보국문로 51, 2층 (정릉동, 안진빌딩)",37.60911032,127.0095484,병원,한의원
365봄연합의원,"서울특별시 강서구 양천로 424 , 가양역 데시앙플렉스 지식산업센터 2층 236~240호  (등촌동)",37.56422771,126.847971,병원,의원
365봄이비인후과의원,"서울특별시 성북구 길음로 33, A동상가동 지하1층 1호,2-1호 (길음동, 길음뉴타운8단지아파트)",37.60508329,127.0220786,병원,의원
갸름한성형외과의원,"서울특별시 강남구 강남대로 390, 21층 (역삼동)",37.49784022,127.0285792,병원,의원
굿이너프정신건강의학과의원,"서울특별시 강남구 학동로 335, 다른타워 8층 (논현동)",37.51698816,127.0396507,병원,의원
김문성이비인후과의원,"서울특별시 서대문구 증가로 122, 202호 (남가좌동)",37.57736863,126.9242771,병원,의원
계룡한의원,"서울특별시 마포구 만리재로 133, 4층 (아현동, 계룡빌딩)",37.55165989,126.9621386,병원,한의원
경희무릅나무한의원,"서울특별시 강남구 테헤란로63길 9, 201,202,203호 (삼성동)",37.50575472,127.0500437,병원,한의원
경희우소홍한의원,"서울특별시 영등포구 국제금융로 78, 303호 (여의도동, 홍우빌딩)",37.5208714,126.9312993,병원,한의원
권내과의원,서울특별시 마포구 숭문길 221  (대흥동),37.55624403,126.946428,병원,의원
굿웰스의원,"서울특별시 서대문구 통일로 440, 2층 1호 (홍제동)",37.58835775,126.9450874,병원,의원
경이비인후과의원,"서울특별시 광진구 광나루로 608, (구의동)",37.54118611,127.0952833,병원,의원
경희호강한의원,서울특별시 관악구 조원로 132 (신림동),37.48525443,126.9169226,병원,한의원
교대화인마취통증의학과의원,"서울특별시 서초구 서초중앙로 147, 3층 (서초동, 서초법조타운)",37.49487567,127.0130585,병원,의원
공릉치과의원,서울특별시 노원구 동일로 1045 (공릉동),37.62340593,127.0734119,병원,치과의원
365봄한의원,"서울특별시 노원구 동일로 1343, 동일프라자빌딩 201,202,203호 (상계동)",37.64849538,127.0619785,병원,한의원
365봄한의원,"서울특별시 은평구 통일로 626, 유림빌딩 2층 (녹번동)",37.60247202,126.9354072,병원,한의원
김석희내과의원,서울특별시 광진구 광나루로 366  (화양동),37.54786685,127.0703302,병원,의원
기쁨내과의원,"서울특별시 강동구 양재대로 1319, 대성빌딩 6층 601호호 (성내동)",37.52419543,127.1344391,병원,의원
365삼성의원,"서울특별시 강남구 도곡로 331, 7층 (역삼동)",37.4964928,127.0521993,병원,의원
경희설한의원,"서울특별시 서초구 남부순환로 2614, 307호 (양재동)",37.48447425,127.0366742,병원,한의원
골든발란스여성의원,"서울특별시 서초구 강남대로 535, 프린스빌딩 9,10층 (반포동)",37.50960902,127.0215987,병원,의원
김안과의원,서울특별시 서대문구 통일로 107 (미근동),37.56446735,126.9674887,병원,의원
권마취통증의학과의원,서울특별시 구로구 구로동로26길 115 (구로동),37.49013219,126.8904785,병원,의원
365서울늘열린의원,"서울특별시 강동구 양재대로 1343, 2층 (성내동)",37.52633938,127.1352152,병원,의원
구원창문외과의원,"서울특별시 동작구 동작대로 89, 골든시네마타워 3층 301호 (사당동)",37.48461547,126.9816651,병원,의원
국립정신건강센터,"서울특별시 광진구 용마산로 127 (중곡동, 국립정신건강센터)",37.56513373,127.0858052,병원,요양병원
고성종의원,"서울특별시 노원구 석계로9길 33, (월계동)",37.61671542,127.0627042,병원,의원
경희아인한의원,"서울특별시 강동구 올림픽로 664, 306호 (천호동, 대우 한강 베네시티)",37.54055538,127.1249758,병원,한의원
김시욱안과의원,서울특별시 중랑구 동일로 917 (묵동),37.61221105,127.0771061,병원,의원
금문치과의원,"서울특별시 노원구 노원로34길 116, 3층 (상계동)",37.66412126,127.0663438,병원,치과의원
365서울바로치과의원,"서울특별시 강동구 양재대로 1319, 대성빌딩 301-302호 (성내동)",37.52419543,127.1344391,병원,치과의원
나를의원,서울특별시 강남구 가로수길 18  (신사동),37.5191785,127.0234542,병원,의원
365서울원탑치과의원,"서울특별시 강서구 강서로 179, 3,4층 302, 401, 402호 (화곡동)",37.5413957,126.8410394,병원,치과의원
광진하나치과의원,"서울특별시 광진구 능동로13길 39, 3층 (화양동)",37.54395902,127.0697577,병원,치과의원
365서울치과의원,"서울특별시 종로구 종로 120, 동영타워 8층 (종로3가)",37.57006802,126.9909179,병원,치과의원
365서울한의원,"서울특별시 구로구 도림로26길 10, 해맑은미소 5,6층 (구로동)",37.49097349,126.8942634,병원,한의원
365소리안한의원,"서울특별시 강남구 학동로 339, 세한빌딩 2층 (논현동)",37.51714052,127.0401838,병원,한의원
경희불로장생한의원,서울특별시 강동구 천중로52길 27,37.53955527,127.1439621,병원,한의원
길동미래로내과의원,서울특별시 강동구 천중로 237 (길동),37.54083246,127.1467226,병원,의원
광남한의원,서울특별시 종로구 종로 251-3(종로5가),37.57146108,127.0056081,병원,한의원
365송파한의원,"서울특별시 송파구 중대로 304, 3층 (오금동)",37.50739709,127.1331957,병원,한의원
구로성모의원,"서울특별시 구로구 가마산로 220, 동성빌딩 2층 (구로동)",37.49346712,126.8856294,병원,의원
김가풍정형외과의원,"서울특별시 성북구 오패산로 20, (하월곡동)",37.60403551,127.0377904,병원,의원
금호경희한의원,"서울특별시 성동구 독서당로 307-1, 3층 (금호동3가)",37.54836605,127.023049,병원,한의원
경희예가한의원,"서울특별시 강남구 봉은사로73길 47, 1층 (삼성동)",37.51540291,127.0494891,병원,한의원
365쌩쌩한의원,"서울특별시 송파구 가락로 210, 102호 (송파동)",37.50701994,127.1164771,병원,한의원
365아산원탑마취통증의학과재활의학과의원,"서울특별시 광진구 광나루로 620, 이진빌딩 1,2층 (구의동)",37.54060966,127.0960479,병원,의원
365어울림한의원,"서울특별시 강서구 초록마을로 15, 102~104호 (화곡동, 은가람팰리스)",37.54438963,126.846079,병원,한의원
365엠씨(mc)병원,"서울특별시 서초구 서초중앙로 126, 서울365mc병원 지하1층, 2~13층 (서초동)",37.49299055,127.0141152,병원,병원
365엠씨(mc)의원,"서울특별시 강동구 천호대로 1034, 3층 301호 (성내동, 탑 메디칼센타)",37.53720733,127.1267682,병원,의원
365엠씨람스의원,"서울특별시 영등포구 영중로 6, 11~13층 (영등포동3가, 영등포키스톤타워)",37.51696369,126.9066546,병원,의원
365엠씨의원,"서울특별시 성북구 아리랑로 3, 5층 (동소문동6가, 기업은행)",37.59302413,127.0161745,병원,의원
365엠씨의원,"서울특별시 마포구 신촌로 92, 7,10층 (노고산동)",37.55517792,126.9356803,병원,의원
김미란서울소아청소년과의원,서울특별시 강서구 등촌로 31 (화곡동),37.53285247,126.8634041,병원,의원
김민경병리과의원,"서울특별시 강남구 삼성로 709, 4층 (청담동)",37.51942452,127.0495286,병원,의원
김민석재활의학과의원,서울특별시 도봉구 노해로63길 78 (창동),37.6525859,127.0463322,병원,의원
365엠씨의원,"서울특별시 강남구 도산대로 116, 논현빌딩 2층, 3층(동측), 3층일부(서측) (논현동)",37.5166065,127.0215161,병원,의원
궁동의원,"서울특별시 구로구 부일로15길 4, 201호 (궁동)",37.49351635,126.834427,병원,의원
그레이스치과의원,"서울특별시 용산구 이태원로 173, 3층 (이태원동)",37.53465489,126.9932658,병원,치과의원
365역촌으뜸본재활의학과의원,"서울특별시 은평구 서오릉로 64, 101,201,202호 (녹번동, 한경S타워)",37.60623675,126.9232677,병원,의원
365연세의원,"서울특별시 성동구 왕십리로 410, L동 3층 320호 (하왕십리동, 센트라스)",37.56486274,127.0296523,병원,의원
365열린가정의학과의원,"서울특별시 강남구 도곡로 405 , 삼환아르누보2 2층 204호  (대치동)",37.49736891,127.0546682,병원,의원
김상수마이크로의원,"서울특별시 강남구 선릉로131길 8, 3층 (논현동, 노벨빌딩)",37.51797526,127.040276,병원,의원
365열린내과의원,"서울특별시 노원구 한글비석로 77, 3층 (하계동)",37.63756149,127.0704665,병원,의원
365열린의원,"서울특별시 강동구 올림픽로 664, 3층 (천호동, 대우한강베네시티)",37.54055538,127.1249758,병원,의원
기쁨정원치과병원,"서울특별시 강남구 밤고개로1길 10, 315호 (수서동, 수서현대벤쳐빌)",37.48802449,127.1018445,병원,치과병원
365열린치과의원,"서울특별시 영등포구 신길로 167, 301호 (신길동)",37.50705834,126.9107483,병원,치과의원
경희태화당한의원,"서울특별시 서대문구 수색로2길 6, 2층 (남가좌동)",37.57022183,126.9160043,병원,한의원
고려튼튼정형외과의원,"서울특별시 종로구 송월길 99, 2226,2227,2228호 (홍파동, 경희궁자이)",37.56920505,126.9638464,병원,의원
365열린한의원,"서울특별시 관악구 양녕로 58, 302호 (봉천동, 고은빌딩)",37.48731165,126.9470378,병원,한의원
365예한의원,"서울특별시 송파구 가락로36길 5 (방이동,2층)",37.50988745,127.1186796,병원,한의원
금산부인과의원,"서울특별시 양천구 신목로 86, 3층 (신정동)",37.52230622,126.874759,병원,의원
김성우내과의원,"서울특별시 은평구 통일로82길 11, 2층 (불광동)",37.62082562,126.9203817,병원,의원
koko코코치과의원,"서울특별시 노원구 동일로 1005, 대정빌딩 2층 (공릉동)",37.6199277,127.0745144,병원,치과의원
고운가정의학과의원,서울특별시 강동구 동남로79길 26 (고덕동),37.55983465,127.1550603,병원,의원
365온(ON)가정의원,"서울특별시 중구 왕십리로 407, B1층 2호 (신당동, 신당 파인힐 하나유보라)",37.56478,127.02471,병원,의원
권명대치과의원,서울특별시 중구 세종대로 68 (태평로2가),37.56223611,126.9766083,병원,치과의원
365올케어치과의원,"서울특별시 중구 동호로 171, 4층 (신당동)",37.5534784,127.0113052,병원,치과의원
김숙경산부인과의원,서울특별시 강남구 선릉로 312  (대치동),37.49754372,127.0526428,병원,의원
365웰재활의학과의원,"서울특별시 강서구 양천로67길 15, 한희빌딩 5층 (염창동)",37.55504777,126.8675197,병원,의원
효담요양병원,서울특별시 서대문구 통일로 544 (홍은동),37.59625197,126.9395563,병원,요양병원
고운이치과의원,서울특별시 강남구 선릉로 32,37.48267539,127.0609156,병원,치과의원
고운이치과의원,서울특별시 관악구 은천로 114 (봉천동),37.4866426,126.9479769,병원,치과의원
김열회산부인과의원,서울특별시 영등포구 여의대방로 386 (여의도동),37.51889795,126.9319433,병원,의원
김영돈여성외과의원,서울특별시 노원구 동일로 1371 (상계동),37.6509527,127.061139,병원,의원
국회사무처부속치과의원,서울특별시 영등포구 의사당대로 1,37.53098126,126.9154301,병원,치과의원
골든뷰성형외과의원,"서울특별시 강남구 압구정로 449, 3층 (청담동, 청하빌딩)",37.52623959,127.0465557,병원,의원
김예원내과의원,"서울특별시 영등포구 국제금융로 70 (여의도동, 미원빌딩)",37.52149462,126.9306778,병원,의원
365웰정형외과의원,"서울특별시 강동구 양재대로 1360, 포레온스테이션5 3층 3004~3010, 3037호 (둔촌동)",37.52747586,127.1370461,병원,의원
고운결한의원,"서울특별시 강동구 올림픽로 664, 306호 (천호동, 대우 한강 베네시티)",37.54055538,127.1249758,병원,한의원
365웰정형외과재활의학과의원,"서울특별시 송파구 오금로 239, 365웰빌딩 지하1층, 2~5층 1층 103호 (방이동)",37.50661178,127.1202597,병원,의원
나눔명품한의원,"서울특별시 영등포구 대림로 187, 조양빌딩 2층 (대림동)",37.49756215,126.8984262,병원,한의원
곽치과의원,"서울특별시 종로구 새문안로3길 30, 지하 118호 (내수동, 대우빌딩)",37.57295833,126.97175,병원,치과의원
365이화웃는세상의원,"서울특별시 은평구 진관3로 11, 3층 301호 (진관동, 은평뉴타운 힐데스하임)",37.63946305,126.9182681,병원,의원
김경수정형외과의원,"서울특별시 강동구 구천면로 200, 2층 (천호동, 은평빌딩)",37.54028196,127.1268025,병원,의원
365청추나한의원,"서울특별시 은평구 은평로 170, 상현빌딩 2층 205호 (응암동)",37.60108939,126.9266624,병원,한의원
365코이의원,"서울특별시 강남구 강남대로118길 12, 부경빌딩 3층, 4층일부, 5층 (논현동)",37.50631189,127.0247573,병원,의원
365탄탄한의원,"서울특별시 영등포구 문래로 79-4, 태양프라자 4층 (문래동3가)",37.51980977,126.8909663,병원,한의원
365탑치과의원,"서울특별시 관악구 남부순환로 2082-25, 3층 (남현동)",37.47605668,126.9810128,병원,치과의원
굿모닝힐의원,"서울특별시 동작구 노량진로 225 (본동, 1층, 2층)",37.51295238,126.9509875,병원,의원
365평생한의원,"서울특별시 송파구 오금로 500, 동양빌딩 3층 (거여동)",37.49286236,127.1440093,병원,한의원
365필요한의원,"서울특별시 중랑구 망우로 198, 2층 (상봉동)",37.59332774,127.0748712,병원,한의원
365하늘애한의원강동본점,"서울특별시 강동구 동남로75길 29, 세종프라자 203호 (명일동)",37.55415638,127.1545288,병원,한의원
가산베스트치과의원,"서울특별시 금천구 가산디지털1로 219, 벽산디지털밸리6차 2층 214호 (가산동)",37.48449789,126.8789921,병원,치과의원
365한국신통의원,"서울특별시 광진구 면목로 174, 2층 (중곡동)",37.5686723,127.0829843,병원,의원
고준영이비인후과의원,서울특별시 강남구 삼성로 155  (대치동),37.4938805,127.0629541,병원,의원
365항외과의원,"서울특별시 강북구 도봉로 333, 8층 (수유동, 정우빌딩)",37.63786991,127.0250518,병원,의원
김이비인후과의원,서울특별시 중랑구 망우로 410 (망우동),37.59896701,127.0975957,병원,의원
365헬리오한의원,"서울특별시 송파구 송파대로 345, 1A동 4층 4009호 (가락동, 헬리오시티)",37.49761538,127.1025328,병원,한의원
활짝한의원,"서울특별시 성북구 동소문로 311, 201호 (길음동)",37.60774834,127.0287461,병원,한의원
김재면내과의원,서울특별시 노원구 동일로 1533,37.66536478,127.0572464,병원,의원
김정국한의원,"서울특별시 강남구 봉은사로 108, 3층 (역삼동)",37.50453358,127.0255915,병원,한의원
길치과의원,"서울특별시 구로구 경인로15길 4, SC메디칼센터 401호 (오류동)",37.49471107,126.8399784,병원,치과의원
365황금손한의원,"서울특별시 관악구 난곡로 305, 대영빌딩 3층 (신림동)",37.48124501,126.9143644,병원,한의원
365힐링의원,"서울특별시 강동구 천호대로 1087, 2층 201호 (천호동, 진넥스빌Ⅲ)",37.53616396,127.1326879,병원,의원
41연세빛정신건강의학과의원,"서울특별시 양천구 목동동로 293, 현대41타워 403호 (목동)",37.52817831,126.875772,병원,의원
김종하정신과의원,서울특별시 강동구 천호대로 1123 (길동),37.53504435,127.1365044,병원,의원
41타워마디튼튼의원,"서울특별시 양천구 목동동로 293, 현대41타워 406,407호 (목동)",37.52817831,126.875772,병원,의원
41타워안과의원,"서울특별시 양천구 목동동로 293, 현대41타워 504,505호 (목동)",37.52817831,126.875772,병원,의원
남궁한의원,서울특별시 구로구 구로동로 77-3 (구로동),37.48575446,126.8855282,병원,한의원
김준호의원,서울특별시 영등포구 의사당대로 108 (여의도동),37.52101442,126.9239916,병원,의원
